ANNEE;NUMERO_TICKET;DATE_VENTE;ID_ARTICLE;QUANTITE;PRIX_U_VENTE
2014;42;18/01/2014;620;41;2,8
2014;84;31/01/2014;577;29;1,43
2014;84;31/01/2014;1689;47;2,88
2014;84;31/01/2014;2663;6;1,18
2014;207;15/03/2014;3504;45;2,28
2014;207;15/03/2014;3825;12;1,4
2014;208;15/03/2014;527;17;1,14
2014;208;15/03/2014;629;17;2,81
2014;208;15/03/2014;865;38;2,1
2014;208;15/03/2014;1994;21;4,81
2014;208;15/03/2014;2850;26;3,32
2014;208;15/03/2014;3583;12;3,82
2014;208;15/03/2014;3740;10;2,29
2014;209;16/03/2014;400;20;1,3
2014;209;16/03/2014;1306;36;1,36
2014;209;16/03/2014;1307;37;2,36
2014;210;16/03/2014;1389;13;1,94
2014;210;16/03/2014;1418;26;1,14
2014;210;16/03/2014;2542;18;2,74
2014;211;17/03/2014;36;16;2,64
2014;211;17/03/2014;260;19;1,08
2014;211;17/03/2014;2058;21;2,65
2014;211;17/03/2014;2506;18;2,78
2014;211;17/03/2014;2786;39;4,03
2014;211;17/03/2014;3812;21;1
2014;211;17/03/2014;3874;13;3,53
2014;212;17/03/2014;45;49;1,84
2014;212;17/03/2014;208;23;1,11
2014;212;17/03/2014;296;38;1,45
2014;212;17/03/2014;342;23;2,05
2014;212;17/03/2014;530;8;2,7
2014;212;17/03/2014;3383;28;1,99
2014;212;17/03/2014;3416;18;4,92
2014;212;17/03/2014;3521;10;2,3
2014;213;18/03/2014;34;30;2,89
2014;213;18/03/2014;205;46;1,96
2014;213;18/03/2014;423;16;2,89
2014;213;18/03/2014;1036;26;1,4
2014;213;18/03/2014;1299;2;1,09
2014;213;18/03/2014;1877;1;1,25
2014;213;18/03/2014;2553;19;3,16
2014;213;18/03/2014;3348;21;1,52
2014;214;18/03/2014;1610;9;2,51
2014;214;18/03/2014;2138;19;4,28
2014;214;18/03/2014;2998;27;1,18
2014;215;18/03/2014;1643;46;2,73
2014;215;18/03/2014;1848;43;1,64
2014;215;18/03/2014;2085;2;2,29
2014;215;18/03/2014;2455;27;1,8
2014;215;18/03/2014;3154;23;2,27
2014;216;19/03/2014;410;30;2,91
2014;216;19/03/2014;822;40;1,1
2014;216;19/03/2014;1952;49;2,49
2014;216;19/03/2014;2885;50;2,49
2014;216;19/03/2014;3313;10;3,34
2014;216;19/03/2014;3458;6;4,7
2014;216;19/03/2014;3664;15;2,75
2014;217;19/03/2014;167;47;1,21
2014;217;19/03/2014;2119;18;3,54
2014;217;19/03/2014;2338;43;2,52
2014;217;19/03/2014;3509;8;3,32
2014;218;19/03/2014;150;1;2,5
